match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,is_historical_entity,has_halftime_data,went_to_extra_time,went_to_penalties,is_walkover,total_goals_match,goal_difference,is_draw,team1_result,team2_result,tournament_stage_order
1,1930,Uruguay,1930-07-13,Group Stage,Matchday 1,Group 1,France,Mexico,3,0,4,1,,,,,France,Normal Time,Estadio Pocitos,Montevideo,False,True,False,False,False,5,3,False,Win,Loss,1
2,1930,Uruguay,1930-07-15,Group Stage,Matchday 3,Group 1,Argentina,France,0,0,1,0,,,,,Argentina,Normal Time,Estadio Parque Central,Montevideo,False,True,False,False,False,1,1,False,Win,Loss,1
3,1930,Uruguay,1930-07-16,Group Stage,Matchday 4,Group 1,Chile,Mexico,1,0,3,0,,,,,Chile,Normal Time,Estadio Parque Central,Montevideo,False,True,False,False,False,3,3,False,Win,Loss,1
4,1930,Uruguay,1930-07-19,Group Stage,Matchday 7,Group 1,Chile,France,0,0,1,0,,,,,Chile,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,1,1,False,Win,Loss,1
5,1930,Uruguay,1930-07-19,Group Stage,Matchday 7,Group 1,Argentina,Mexico,3,1,6,3,,,,,Argentina,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,9,3,False,Win,Loss,1
6,1930,Uruguay,1930-07-22,Group Stage,Matchday 10,Group 1,Argentina,Chile,2,1,3,1,,,,,Argentina,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,4,2,False,Win,Loss,1
7,1930,Uruguay,1930-07-14,Group Stage,Matchday 2,Group 2,Yugoslavia,Brazil,2,0,2,1,,,,,Yugoslavia,Normal Time,Estadio Parque Central,Montevideo,True,True,False,False,False,3,1,False,Win,Loss,1
8,1930,Uruguay,1930-07-17,Group Stage,Matchday 5,Group 2,Yugoslavia,Bolivia,0,0,4,0,,,,,Yugoslavia,Normal Time,Estadio Parque Central,Montevideo,True,True,False,False,False,4,4,False,Win,Loss,1
9,1930,Uruguay,1930-07-20,Group Stage,Matchday 8,Group 2,Brazil,Bolivia,1,0,4,0,,,,,Brazil,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,4,4,False,Win,Loss,1
10,1930,Uruguay,1930-07-14,Group Stage,Matchday 2,Group 3,Romania,Peru,1,0,3,1,,,,,Romania,Normal Time,Estadio Pocitos,Montevideo,False,True,False,False,False,4,2,False,Win,Loss,1
11,1930,Uruguay,1930-07-18,Group Stage,Matchday 6,Group 3,Uruguay,Peru,0,0,1,0,,,,,Uruguay,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,1,1,False,Win,Loss,1
12,1930,Uruguay,1930-07-21,Group Stage,Matchday 9,Group 3,Uruguay,Romania,4,0,4,0,,,,,Uruguay,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,4,4,False,Win,Loss,1
13,1930,Uruguay,1930-07-13,Group Stage,Matchday 1,Group 4,United States,Belgium,2,0,3,0,,,,,United States,Normal Time,Estadio Parque Central,Montevideo,False,True,False,False,False,3,3,False,Win,Loss,1
14,1930,Uruguay,1930-07-17,Group Stage,Matchday 5,Group 4,United States,Paraguay,2,0,3,0,,,,,United States,Normal Time,Estadio Parque Central,Montevideo,False,True,False,False,False,3,3,False,Win,Loss,1
15,1930,Uruguay,1930-07-20,Group Stage,Matchday 8,Group 4,Paraguay,Belgium,1,0,1,0,,,,,Paraguay,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,1,1,False,Win,Loss,1
16,1930,Uruguay,1930-07-26,Semi-final,Semi-finals,,Argentina,United States,1,0,6,1,,,,,Argentina,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,7,5,False,Win,Loss,5
17,1930,Uruguay,1930-07-27,Semi-final,Semi-finals,,Uruguay,Yugoslavia,3,1,6,1,,,,,Uruguay,Normal Time,Estadio Centenario,Montevideo,True,True,False,False,False,7,5,False,Win,Loss,5
18,1930,Uruguay,1930-07-30,Final,Final,,Uruguay,Argentina,1,2,4,2,,,,,Uruguay,Normal Time,Estadio Centenario,Montevideo,False,True,False,False,False,6,2,False,Win,Loss,7
