match_id,world_cup_year,host_country,date,stage,tournament_stage_order,group,result_method,is_walkover,went_to_extra_time,went_to_penalties,has_halftime_data,team,opponent,goals_for,goals_against,result,is_historical_entity
1,1930,Uruguay,1930-07-13,Group Stage,1,Group 1,Normal Time,False,False,False,True,France,Mexico,4,1,Win,False
1,1930,Uruguay,1930-07-13,Group Stage,1,Group 1,Normal Time,False,False,False,True,Mexico,France,1,4,Loss,False
2,1930,Uruguay,1930-07-15,Group Stage,1,Group 1,Normal Time,False,False,False,True,Argentina,France,1,0,Win,False
2,1930,Uruguay,1930-07-15,Group Stage,1,Group 1,Normal Time,False,False,False,True,France,Argentina,0,1,Loss,False
3,1930,Uruguay,1930-07-16,Group Stage,1,Group 1,Normal Time,False,False,False,True,Chile,Mexico,3,0,Win,False
3,1930,Uruguay,1930-07-16,Group Stage,1,Group 1,Normal Time,False,False,False,True,Mexico,Chile,0,3,Loss,False
4,1930,Uruguay,1930-07-19,Group Stage,1,Group 1,Normal Time,False,False,False,True,Chile,France,1,0,Win,False
4,1930,Uruguay,1930-07-19,Group Stage,1,Group 1,Normal Time,False,False,False,True,France,Chile,0,1,Loss,False
5,1930,Uruguay,1930-07-19,Group Stage,1,Group 1,Normal Time,False,False,False,True,Argentina,Mexico,6,3,Win,False
5,1930,Uruguay,1930-07-19,Group Stage,1,Group 1,Normal Time,False,False,False,True,Mexico,Argentina,3,6,Loss,False
6,1930,Uruguay,1930-07-22,Group Stage,1,Group 1,Normal Time,False,False,False,True,Argentina,Chile,3,1,Win,False
6,1930,Uruguay,1930-07-22,Group Stage,1,Group 1,Normal Time,False,False,False,True,Chile,Argentina,1,3,Loss,False
7,1930,Uruguay,1930-07-14,Group Stage,1,Group 2,Normal Time,False,False,False,True,Brazil,Yugoslavia,1,2,Loss,False
7,1930,Uruguay,1930-07-14,Group Stage,1,Group 2,Normal Time,False,False,False,True,Yugoslavia,Brazil,2,1,Win,True
8,1930,Uruguay,1930-07-17,Group Stage,1,Group 2,Normal Time,False,False,False,True,Bolivia,Yugoslavia,0,4,Loss,False
8,1930,Uruguay,1930-07-17,Group Stage,1,Group 2,Normal Time,False,False,False,True,Yugoslavia,Bolivia,4,0,Win,True
9,1930,Uruguay,1930-07-20,Group Stage,1,Group 2,Normal Time,False,False,False,True,Bolivia,Brazil,0,4,Loss,False
9,1930,Uruguay,1930-07-20,Group Stage,1,Group 2,Normal Time,False,False,False,True,Brazil,Bolivia,4,0,Win,False
10,1930,Uruguay,1930-07-14,Group Stage,1,Group 3,Normal Time,False,False,False,True,Peru,Romania,1,3,Loss,False
10,1930,Uruguay,1930-07-14,Group Stage,1,Group 3,Normal Time,False,False,False,True,Romania,Peru,3,1,Win,False
11,1930,Uruguay,1930-07-18,Group Stage,1,Group 3,Normal Time,False,False,False,True,Peru,Uruguay,0,1,Loss,False
11,1930,Uruguay,1930-07-18,Group Stage,1,Group 3,Normal Time,False,False,False,True,Uruguay,Peru,1,0,Win,False
12,1930,Uruguay,1930-07-21,Group Stage,1,Group 3,Normal Time,False,False,False,True,Romania,Uruguay,0,4,Loss,False
12,1930,Uruguay,1930-07-21,Group Stage,1,Group 3,Normal Time,False,False,False,True,Uruguay,Romania,4,0,Win,False
13,1930,Uruguay,1930-07-13,Group Stage,1,Group 4,Normal Time,False,False,False,True,Belgium,United States,0,3,Loss,False
13,1930,Uruguay,1930-07-13,Group Stage,1,Group 4,Normal Time,False,False,False,True,United States,Belgium,3,0,Win,False
14,1930,Uruguay,1930-07-17,Group Stage,1,Group 4,Normal Time,False,False,False,True,Paraguay,United States,0,3,Loss,False
14,1930,Uruguay,1930-07-17,Group Stage,1,Group 4,Normal Time,False,False,False,True,United States,Paraguay,3,0,Win,False
15,1930,Uruguay,1930-07-20,Group Stage,1,Group 4,Normal Time,False,False,False,True,Belgium,Paraguay,0,1,Loss,False
15,1930,Uruguay,1930-07-20,Group Stage,1,Group 4,Normal Time,False,False,False,True,Paraguay,Belgium,1,0,Win,False
16,1930,Uruguay,1930-07-26,Semi-final,5,,Normal Time,False,False,False,True,Argentina,United States,6,1,Win,False
